"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Gangwon","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","50","58","78","69","49","49","57","56","53","42","45","44","35","45","30","53","34",
"Gangwon","Medical Benefit","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","51","61","78","70","49","49","59","56","54","45","45","44","35","46","30","58","36",
"Gangwon","Medical Benefit","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","19","18","6","10","14","16","14","14","18","26","29","19","23","12","9","20","19",
"Gangwon","Medical Benefit","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","19","18","6","10","15","16","14","14","18","26","29","19","23","12","9","21","20",
"Gangwon","Medical Benefit","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","3","1","3","4","1","8","6","10","4","8","1","7","1","3","6","2","5",
"Gangwon","Medical Benefit","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","3","1","3","4","1","8","6","10","4","8","1","7","1","3","6","2","5",
"Gangwon","Medical Benefit","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","89","115","119","122","76","44","51","52","36","41","44","36","38","47","42","53","29",
"Gangwon","Medical Benefit","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","89","123","119","123","76","44","51","52","36","41","44","36","38","47","42","53","30",
"Gangwon","Medical Benefit","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","65","52","39","54","59","58","55","48","38","36","46","34","31","47","41","32","40",
"Gangwon","Medical Benefit","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","65","56","39","54","59","58","55","48","38","36","46","34","31","47","42","32","42",
"Gangwon","Medical Benefit","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","66","49","45","40","48","42","41","38","106","122","111","124","138","115","135","107","105",
"Gangwon","Medical Benefit","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","67","57","46","44","48","44","44","41","115","130","115","132","143","125","141","115","114",
"Gangwon","Medical Benefit","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","114","91","125","120","140","142","125","154","151","155","172","175","176","193","173","135","141",
"Gangwon","Medical Benefit","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","119","102","129","128","145","147","131","197","183","183","187","198","199","205","185","145","154",
"Gangwon","Medical Benefit","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","16","13","25","1","22","19","8","20","25","12","26","19","29","25","39","31","33",
"Gangwon","Medical Benefit","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","16","13","26","1","22","19","8","21","26","12","27","19","30","25","44","32","35",
"Gangwon","Medical Benefit","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","24","20","25","27","20","18","18","17","19","30","16","26","12","16","17","14","17",
"Gangwon","Medical Benefit","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","24","21","25","27","20","18","19","17","19","30","17","26","12","16","17","17","17",
"Gangwon","Medical Benefit","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","0","0","0","0","0","0","0","","","","-","-","-","-","","-","-",
"Gangwon","Medical Benefit","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","0","0","0","0","0","0","0","","","","-","-","-","-","-","-","-",
"Gangwon","Medical Benefit","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","7","9","5","11","11","6","4","6","7","9","8","7","7","4","7","4","8",
"Gangwon","Medical Benefit","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","8","9","5","11","11","6","4","6","7","9","8","8","7","4","8","5","8",
"Gangwon","Medical Benefit","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","45","45","40","37","37","31","36","35","42","22","25","30","36","22","32","26","38",
"Gangwon","Medical Benefit","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","45","52","40","38","37","31","36","35","42","22","25","30","36","22","33","27","40",
"Gangwon","Medical Benefit","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","2","8","7","9","9","10","9","15","9","20","13","12","19","17","14","11","16",
"Gangwon","Medical Benefit","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","2","9","7","9","9","10","9","16","9","20","13","12","19","19","14","11","16",
"Gangwon","Medical Benefit","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","45","57","61","67","60","69","75","63","58","67","57","69","82","68","89","91","81",
"Gangwon","Medical Benefit","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","66","83","86","88","79","87","86","79","72","93","75","81","105","85","111","111","103",
"Gangwon","Medical Benefit","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","10","9","21","19","21","27","19","22","22","16","17","18","15","11","21","15","22",
"Gangwon","Medical Benefit","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","10","10","22","19","21","27","19","22","23","16","18","18","17","12","22","15","22",
"Gangwon","Medical Benefit","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","6","7","11","8","10","24","4","5","3","","","","","","","","",
"Gangwon","Medical Benefit","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","6","8","11","8","10","26","4","5","3","","","","","","","","",
"Gangwon","Medical Benefit",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","8","6","4","6","16","22","22","15",
"Gangwon","Medical Benefit",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","8","6","4","6","16","22","23","15",
"Gangwon","Medical Benefit","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","0","0","0","1","1","0","0","","","1","-","1","-","-","1","1","-",
"Gangwon","Medical Benefit","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","0","0","0","1","1","0","0","","","1","-","1","-","-","1","2","-",
"Gangwon","Medical Benefit","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","193","190","214","210","180","156","168","171","153","138","104","107","116","74","81","75","87",
"Gangwon","Medical Benefit","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","202","221","220","212","180","157","168","173","155","140","106","110","116","75","81","75","87",
"Gangwon","Medical Benefit","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","1","1","8","5","0","0","1","","","1","1","-","2","-","2","6","4",
"Gangwon","Medical Benefit","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","1","2","8","6","0","0","1","","","1","1","-","2","-","2","6","4",
"Gangwon","Medical Benefit","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","202","203","225","250","313","265","319","331","281","308","331","345","368","390","390","383","335",
"Gangwon","Medical Benefit","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","207","225","231","256","323","272","327","355","302","324","359","371","393","420","418","412","355",
"Gangwon","Medical Benefit","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","48","52","54","44","44","51","55","48","46","51","47","26","30","44",
"Gangwon","Medical Benefit","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","48","52","56","46","46","56","56","50","47","52","48","27","30","46",
"Gangwon","Medical Benefit","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","36","43","41","24","41","8","26","9","4","5","1","5","15","13","9","3","2",
"Gangwon","Medical Benefit","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","36","45","43","25","47","8","28","9","4","5","1","5","15","13","10","3","2",
"Gangwon","Medical Benefit","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","2",
"Gangwon","Medical Benefit","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","2",
"Chungbuk","Total","Total","Surgery Received Person[Person]","Person","29790","33127","33241","37544","39638","39606","40216","39894","40199","39584","39691","40477","39971","42151","40085","39908","40661",
"Chungbuk","Total","Total","Surgery Count[Unit]","Surgery","33235","37361","37474","42922","45409","45854","45951","45856","46415","45371","45335","47643","46944","50197","48015","48531","49511",
"Chungbuk","Total","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","7083","7840","8179","9269","10073","10720","9861","10143","10315","10012","10080","11836","11597","12998","11919","12049","12068",
"Chungbuk","Total","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","9430","10592","11085","12771","14027","15134","13997","14339","14715","14232","14204","17206","16880","19187","18067","18225","18075",
"Chungbuk","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","967","1049","927","843","915","952","1011","993","880","701","704","812","681","666","558","383","319",
"Chungbuk","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","971","1056","928","847","918","956","1021","1005","887","707","732","875","713","669","560","384","321",
"Chungbuk","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","85","124","127","165","206","187","193","223","187","189","186","173","216","227","214","207","223",
"Chungbuk","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","86","127","127","168","211","190","201","230","191","192","190","175","221","235","218","218","244",
"Chungbuk","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","414","615","625","842","1120","1179","1311","1369","1514","1655","1792","1755","1796","1767","1578","1646","1745",
